x y
1285.265949684198 991.6538224149954
112.35444009822595 114.37437747638505
792.5899412769367 1313.1384773233779
712.0607279599503 900.185992191239
407.7152035355503 1093.439458449851
289.0856048153397 606.9264482673507
704.6598241162842 898.513955091287
1187.8109885223846 514.8668610286878
1194.691047285632 497.1038548617903
401.47395521698303 1090.8867083756445
1193.5910393960758 477.1995212841972
1316.3422289112455 1019.843301087199
794.7698255978969 1322.0416219704596
90.79579174967577 101.30924656313717
804.3209377473455 1303.9853238540934
304.79510467080024 614.7084708168555
800.7696885996589 1312.1950291919525
103.05637061075629 115.57229170352663
398.89113598802817 1102.3050925111297
401.0998897178633 1106.1553775518635
1203.0401871788688 498.59021827737536
80.09230931872473 102.36759331545399
113.00092824749098 97.22365060561955
803.5511864364242 1293.2468421508113
102.99063066124586 99.2714030869742
302.0456187350401 591.90603337759
701.0194529333365 893.551536639127
698.6002002593624 899.9787983697007
811.5214808000255 1300.2947157963563
292.0794517894223 621.6439987162712
400.2638791851908 1083.2316836837374
1297.4791922393395 1011.7619517086105
677.8490757665061 900.3277306931724
689.7777117283512 905.436714415162
1308.8108301795128 982.8105687892636
1203.5852796088072 510.23665924469765
1309.9289795014295 1015.0442474238115
790.3156896857746 1297.7018316370734
308.5990476624855 606.6901686686888
1284.9363478770745 999.9039130386091
290.8278453812331 603.2956543577226
1196.296666983636 493.54630819798405
704.7379185491251 902.7181300208563
292.71829848864803 591.7286934053085
113.40916218626867 93.55307212900524
1204.0929183016353 507.75547169387795
94.78030983133503 111.6499086212678
104.81181433093745 98.41515980949988
394.55382105627194 1106.3756897094834
1300.60162207326 999.4901305938319
1288.957336923249 981.315675524982
1210.3489688194397 500.09184618888634
1209.9502265191568 513.661860379153
307.5552455328143 604.3376525956197
408.9852592237368 1109.6752435085398
283.75147027271265 597.8209459098133
1185.8972754331198 507.97069442661075
697.607000549962 896.3817181498415
791.6535489819861 1306.0769108555605
401.2500529982271 1108.3369107538058
401.03398799689563 1080.1275241581302
700.8480401537652 891.484630109683
1295.371299525215 997.1823815153714
800.4574644917624 1304.9364255944145
94.77433498945075 99.73671623538537
1303.3287167603557 1008.3383240435664
304.57696835572875 608.8609678566735
817.8144799959811 1318.9596628893107
697.0692111974831 902.4651197153271
400.1500508076483 1083.2594053105145
